,Missing Values,Percentage
MACCS_86,49441,30.254872563718138
MACCS_87,49441,30.254872563718138
MACCS_125,49441,30.254872563718138
MACCS_123,49441,30.254872563718138
MACCS_120,49441,30.254872563718138
MACCS_118,49441,30.254872563718138
MACCS_117,49441,30.254872563718138
MACCS_116,49441,30.254872563718138
MACCS_115,49441,30.254872563718138
MACCS_114,49441,30.254872563718138
MACCS_113,49441,30.254872563718138
MACCS_112,49441,30.254872563718138
MACCS_111,49441,30.254872563718138
MACCS_110,49441,30.254872563718138
MACCS_109,49441,30.254872563718138
MACCS_108,49441,30.254872563718138
MACCS_107,49441,30.254872563718138
MACCS_106,49441,30.254872563718138
MACCS_105,49441,30.254872563718138
MACCS_104,49441,30.254872563718138
MACCS_103,49441,30.254872563718138
MACCS_101,49441,30.254872563718138
MACCS_100,49441,30.254872563718138
MACCS_99,49441,30.254872563718138
MACCS_97,49441,30.254872563718138
MACCS_96,49441,30.254872563718138
MACCS_95,49441,30.254872563718138
MACCS_93,49441,30.254872563718138
MACCS_92,49441,30.254872563718138
MACCS_91,49441,30.254872563718138
MACCS_90,49441,30.254872563718138
MACCS_126,49441,30.254872563718138
MACCS_127,49441,30.254872563718138
MACCS_128,49441,30.254872563718138
MACCS_149,49441,30.254872563718138
MACCS_164,49441,30.254872563718138
MACCS_163,49441,30.254872563718138
MACCS_162,49441,30.254872563718138
MACCS_161,49441,30.254872563718138
MACCS_160,49441,30.254872563718138
MACCS_159,49441,30.254872563718138
MACCS_157,49441,30.254872563718138
MACCS_155,49441,30.254872563718138
MACCS_154,49441,30.254872563718138
MACCS_153,49441,30.254872563718138
MACCS_152,49441,30.254872563718138
MACCS_151,49441,30.254872563718138
MACCS_150,49441,30.254872563718138
MACCS_147,49441,30.254872563718138
MACCS_129,49441,30.254872563718138
MACCS_146,49441,30.254872563718138
MACCS_145,49441,30.254872563718138
MACCS_144,49441,30.254872563718138
MACCS_143,49441,30.254872563718138
MACCS_142,49441,30.254872563718138
MACCS_141,49441,30.254872563718138
MACCS_139,49441,30.254872563718138
MACCS_138,49441,30.254872563718138
MACCS_137,49441,30.254872563718138
MACCS_136,49441,30.254872563718138
MACCS_134,49441,30.254872563718138
MACCS_132,49441,30.254872563718138
MACCS_131,49441,30.254872563718138
MACCS_89,49441,30.254872563718138
MACCS_165,49441,30.254872563718138
MACCS_39,49441,30.254872563718138
MACCS_42,49441,30.254872563718138
MACCS_85,49441,30.254872563718138
MACCS_38,49441,30.254872563718138
MACCS_37,49441,30.254872563718138
MACCS_36,49441,30.254872563718138
MACCS_34,49441,30.254872563718138
MACCS_33,49441,30.254872563718138
MACCS_32,49441,30.254872563718138
MACCS_30,49441,30.254872563718138
MACCS_29,49441,30.254872563718138
MACCS_28,49441,30.254872563718138
MACCS_27,49441,30.254872563718138
MACCS_26,49441,30.254872563718138
MACCS_25,49441,30.254872563718138
MACCS_23,49441,30.254872563718138
MACCS_22,49441,30.254872563718138
MACCS_21,49441,30.254872563718138
MACCS_20,49441,30.254872563718138
MACCS_19,49441,30.254872563718138
MACCS_17,49441,30.254872563718138
MACCS_16,49441,30.254872563718138
MACCS_15,49441,30.254872563718138
MACCS_14,49441,30.254872563718138
MACCS_13,49441,30.254872563718138
MACCS_11,49441,30.254872563718138
MACCS_3,49441,30.254872563718138
MACCS_40,49441,30.254872563718138
MACCS_41,49441,30.254872563718138
MACCS_43,49441,30.254872563718138
MACCS_66,49441,30.254872563718138
MACCS_84,49441,30.254872563718138
MACCS_83,49441,30.254872563718138
MACCS_82,49441,30.254872563718138
MACCS_80,49441,30.254872563718138
MACCS_79,49441,30.254872563718138
MACCS_78,49441,30.254872563718138
MACCS_77,49441,30.254872563718138
MACCS_76,49441,30.254872563718138
MACCS_75,49441,30.254872563718138
MACCS_74,49441,30.254872563718138
MACCS_72,49441,30.254872563718138
MACCS_69,49441,30.254872563718138
MACCS_68,49441,30.254872563718138
MACCS_64,49441,30.254872563718138
MACCS_59,49441,30.254872563718138
MACCS_57,49441,30.254872563718138
MACCS_54,49441,30.254872563718138
MACCS_53,49441,30.254872563718138
MACCS_52,49441,30.254872563718138
MACCS_50,49441,30.254872563718138
MACCS_48,49441,30.254872563718138
MACCS_47,49441,30.254872563718138
MACCS_46,49441,30.254872563718138
MACCS_45,49441,30.254872563718138
MACCS_44,49441,30.254872563718138
Activity_Cluster,9834,6.017807422819202
Endpoint,0,0.0
Exposure Type,0,0.0
Media Type,0,0.0
Broad Lifestage Group,0,0.0
Observed Duration Mean (Days),0,0.0
Conc 1 Mean (Standardized),0,0.0
SMILES,0,0.0
Species Group,0,0.0
